coin,fill_hhi,volume_hhi,mpsc_hhi,top5_fill,top5_mpsc,top5_tob,fill_rate_decline,tob_decline,n_makers,pre_fills,outage_fills,fill_hhi_std,mpsc_hhi_std,top5_fill_std,top5_mpsc_std,top5_tob_std,fill_rate_decline_std,tob_decline_std
BTC,0.11736805327104252,0.023752279470286533,0.48558422843877885,0.4611441307578009,0.7979592698769381,0.3853932584269663,-0.06875225894542378,0.37920956526793237,323,13460,8871,1.4508599245665055,2.4722180201930435,0.34499114900735267,0.7497549435967071,-0.39662366178286057,0.8986379644884311,1.9351893067853447
ETH,0.024613835567212854,0.026570014094780128,0.10318175250893327,0.25799204005648996,0.614710011618236,0.34106891701828407,0.10747311697369465,0.205501571166002,330,15578,8574,-0.8404142299697033,-0.4645736478491384,-0.757180774228819,-0.23229130660544972,-0.6677345665107881,0.9993539712432429,0.2281033889967232
SOL,0.025663267556239877,0.03634398893448651,0.142283532730073,0.2595891394914524,0.747264704207412,0.4873524451939292,-0.14801772034928196,0.18434107956760953,225,6961,4928,-0.8144904881396661,-0.1642780441665755,-0.748515945086499,0.4780790383600158,0.22701216655006712,0.8533363119623028,0.020152238516546093
HYPE,0.028307768476890385,0.035397994891839424,0.06014289796470787,0.3036695738028633,0.46111572872486256,0.3015958885582905,0.1051060934226971,0.0920320874948341,2050,30385,16768,-0.7491643308916864,-0.7951053713172386,-0.5093640028427662,-1.0554143631527404,-0.909172298421315,0.9980011742427672,-0.8869987608797754
ARB,0.09736683789161923,0.1083103501298215,0.17647839131524595,0.6360544217687074,0.7554031948210436,0.6440677966101696,-3.991726420297849,0.24071484947570188,29,294,905,0.956777078603453,0.09833316288334945,1.2939413230950527,0.5216938080205791,1.1855653984067651,-1.343413102635202,0.5741559229197555
AVAX,0.07025560493167163,0.09178072253306625,0.12734899788370757,0.49595375722543356,0.7395462932208092,0.564327485380117,-2.6894235275738168,-0.010620212415996977,48,865,1968,0.28705801982071316,-0.27897295401579403,0.5338456806959888,0.43671550631116285,0.6978318589157204,-0.5991233188494445,-1.895796867796874
DOGE,0.030064462809917362,0.0687103750991459,0.07415347059166111,0.2672727272727273,0.5126982370064694,0.38565022421524664,-3.3459459459459464,0.18598371777476255,120,1100,2948,-0.7057693411831079,-0.6875063479184343,-0.7068297645849511,-0.7789799081632441,-0.39505192433272085,-0.974337818909871,0.036294987535955246
LINK,0.06542318898397363,0.07663129191943012,0.23932433014871216,0.49005424954792043,0.7859817398669089,0.4873949579831932,-2.844386882361566,0.14967799244947816,44,553,1311,0.16768458280587156,0.58098021972477,0.5018387655782344,0.6855664795079341,0.22727219705235052,-0.6876876939069531,-0.3204933845727408
OP,0.11649812099804842,0.1436503568151276,0.19779283967050892,0.6867469879518072,0.883172529272647,0.7218543046357616,-3.4610875936177132,0.2400023451470114,24,249,685,1.4293702998070912,0.2620248183477753,1.56896641868194,1.2064190668365387,1.6613484534103435,-1.0401433642474067,0.5671539071969949
SUI,0.010789512756620975,0.03555988208538248,0.03045291198641515,0.11707733941034042,0.28270263262650397,0.1836734693877551,-0.07446001763050615,0.15606148021970204,281,7021,4652,-1.1819115154194701,-1.0231198558817567,-1.5216928503155347,-2.011543264711499,-1.6304476232875627,0.8953758766121344,-0.2577607387019313
