lag,lag_seconds,correlation,label
-6,-180,-0.1572016925668222,Spread leads by 180s
-5,-150,-0.15889286993774296,Spread leads by 150s
-4,-120,-0.13776984282415136,Spread leads by 120s
-3,-90,-0.13861474252116415,Spread leads by 90s
-2,-60,-0.14120906216907383,Spread leads by 60s
-1,-30,-0.14478898229609602,Spread leads by 30s
0,0,-0.16033019724133402,Contemporaneous
1,30,-0.14997591043246122,Ratio leads by 30s
2,60,-0.1519956173477895,Ratio leads by 60s
3,90,-0.1651974129640395,Ratio leads by 90s
4,120,-0.1639197262695875,Ratio leads by 120s
5,150,-0.16112832580248693,Ratio leads by 150s
6,180,-0.15332354278719695,Ratio leads by 180s
