coin,n_pre_makers,n_outage_makers,raw_withdrawal,mpsc_weighted_withdrawal,high_mpsc_withdrawal,low_mpsc_withdrawal,withdrawal_differential,tob_collapse,pre_spread,outage_spread,spread_widening,spread_widening_pct
BTC,323,124,0.6160990712074303,0.3670947030497592,0.47761194029850745,0.6776315789473685,-0.20001963864886102,0.8709300939391509,20656.701082460033,4.9505753659817575,-20651.75050709405,-99.97603404654876
ETH,330,160,0.5151515151515151,0.4118612283169245,0.4925373134328358,0.0,0.4925373134328358,0.6910008688697405,20656.701082460033,9.286774103966877,-20647.414308356067,-99.95504231742089
SOL,225,108,0.52,0.3344575604272063,0.3877551020408163,0.0,0.3877551020408163,0.4993318732025799,20656.701082460033,9.260879120775579,-20647.440203339258,-99.95516767617536
HYPE,2050,1913,0.06682926829268288,0.37679199350825,0.08704453441295547,0.0,0.08704453441295547,0.9575861999459906,20656.701082460033,86.41176804143328,-20570.2893144186,-99.58167682392032
ARB,29,9,0.6896551724137931,0.47457627118644075,0.3333333333333333,0.7857142857142857,-0.4523809523809524,0.2828025397279025,20656.701082460033,22.78803525349245,-20633.91304720654,-99.88968211737912
AVAX,48,20,0.5833333333333333,0.5526315789473683,0.6,0.6666666666666666,-0.06666666666666665,0.4881933123335218,20656.701082460033,11.530621884121949,-20645.17046057591,-99.94417975146132
DOGE,120,73,0.3916666666666667,0.3161434977578475,0.38461538461538464,0.0,0.38461538461538464,0.6401029424621196,20656.701082460033,14.231129463311694,-20642.469952996722,-99.93110647529583
LINK,44,23,0.4772727272727273,0.43277310924369744,0.36363636363636365,0.4444444444444444,-0.08080808080808077,0.4814921859435782,20656.701082460033,12.556835605438481,-20644.144246854594,-99.93921180562515
OP,24,9,0.625,0.23841059602649006,0.2,0.8333333333333334,-0.6333333333333333,0.4293450370801118,20656.701082460033,7.424342267268155,-20649.276740192763,-99.96405843199439
SUI,281,139,0.5053380782918149,0.29047619047619044,0.2711864406779661,0.0,0.2711864406779661,0.7749887706239245,20656.701082460033,23.32866919970488,-20633.372413260327,-99.88706488462714
